t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,106.75,0.02,0.16,0.00
0.25,106.64,0.02,0.16,0.17
0.50,106.30,0.16,0.16,0.27
0.75,106.30,0.16,0.16,0.27
1.00,103.62,94.67,0.16,0.27
1.25,97.83,94.67,0.16,0.27
1.50,92.07,94.67,0.16,0.27
1.76,86.60,94.67,0.16,0.27
2.01,81.05,94.67,0.16,0.27
2.26,75.60,94.67,0.16,0.27
2.51,70.14,94.67,0.16,0.27
2.76,64.71,94.67,0.16,0.27
3.01,58.93,94.67,0.16,0.27
3.26,53.33,94.67,0.16,0.27
3.51,47.89,94.67,0.16,0.27
3.76,42.42,94.67,0.16,0.27
4.01,36.95,94.67,0.16,0.27
4.26,31.45,94.67,0.16,0.27
4.51,25.95,94.67,0.16,0.27
4.76,20.63,94.67,0.16,0.27
5.01,14.98,94.67,0.16,0.27
5.26,11.48,94.67,0.17,0.28
5.52,11.27,94.67,0.17,0.65
5.77,11.19,94.67,0.17,0.65
6.02,11.02,94.67,0.17,0.65
6.27,11.02,94.67,0.17,0.65
6.52,11.02,94.67,0.17,0.65
6.77,11.02,94.67,0.17,0.65
7.02,11.03,94.67,0.17,0.65
7.27,11.03,94.67,0.17,0.65
7.52,11.03,94.67,0.17,0.65
7.77,11.03,94.67,0.17,0.65
8.02,11.12,94.67,0.17,0.65
8.27,11.13,94.67,0.17,0.65
8.53,11.13,94.67,0.17,0.65
8.78,11.13,94.67,0.17,0.65
9.03,11.24,94.67,0.17,0.65
9.28,11.24,94.67,0.17,0.65
9.53,11.25,94.67,0.17,0.65
9.78,11.24,94.67,0.17,0.65
10.03,11.25,94.67,0.17,0.65
10.28,11.23,94.67,0.17,0.65
10.53,11.23,94.67,0.17,0.65
10.78,11.23,94.67,0.17,0.65
11.03,11.22,94.67,0.17,0.66
11.28,11.24,94.67,0.17,0.66
11.53,11.23,94.67,0.17,0.66
11.78,11.20,94.67,0.17,0.66
12.03,11.16,94.67,0.17,0.66
12.29,11.13,94.67,0.17,0.59
12.54,11.14,94.67,0.17,0.58
12.79,11.32,94.67,0.17,0.58
13.04,11.30,94.67,0.17,0.59
13.29,11.30,94.67,0.17,0.59
13.54,11.29,94.67,0.17,0.59
13.79,11.28,94.67,0.17,0.59
14.04,11.27,94.67,0.17,0.59
14.29,11.27,94.67,0.17,0.59
14.54,11.27,94.67,0.17,0.59
14.79,11.29,94.67,0.17,0.59
15.04,11.28,94.67,0.17,0.59
15.29,11.31,94.67,0.17,0.60
15.54,11.27,94.67,0.17,0.60
15.79,11.29,94.67,0.17,0.60
16.04,11.31,94.67,0.17,0.60
16.30,11.27,94.67,0.17,0.60
16.55,11.29,94.67,0.17,0.60
16.80,11.29,94.67,0.17,0.60
17.05,11.32,94.67,0.17,0.60
17.30,11.30,94.67,0.17,0.60
17.55,11.28,94.67,0.17,0.60
17.80,11.31,94.67,0.17,0.60
18.05,11.28,94.67,0.17,0.60
18.30,11.30,94.67,0.17,0.60
18.55,11.27,94.67,0.17,0.60
18.80,11.28,94.67,0.17,0.61
19.05,11.25,94.67,0.17,0.61
19.30,11.25,94.67,0.17,0.61
19.55,11.25,94.67,0.17,0.61
19.80,11.24,94.67,0.17,0.61
