t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,106.55,0.02,0.16,0.00
0.25,106.48,0.02,0.16,0.16
0.50,106.12,0.16,0.16,0.26
0.75,106.12,0.16,0.16,0.27
1.00,103.11,94.67,0.16,0.27
1.25,97.28,94.67,0.16,0.27
1.50,91.54,94.67,0.16,0.27
1.75,86.07,94.67,0.16,0.27
2.01,80.63,94.67,0.16,0.27
2.26,75.11,94.67,0.16,0.27
2.51,69.55,94.67,0.16,0.27
2.76,64.10,94.67,0.16,0.27
3.01,58.66,94.67,0.16,0.27
3.26,53.22,94.67,0.16,0.27
3.51,47.73,94.67,0.16,0.27
3.76,42.22,94.67,0.16,0.27
4.01,36.74,94.67,0.16,0.27
4.26,31.29,94.67,0.16,0.27
4.51,25.87,94.67,0.16,0.27
4.76,20.56,94.67,0.16,0.27
5.01,15.09,94.67,0.16,0.27
5.26,11.66,94.67,0.17,0.27
5.51,11.23,94.67,0.18,0.65
5.77,11.18,94.67,0.18,0.65
6.02,10.84,94.67,0.18,0.65
6.27,10.63,94.67,0.18,0.65
6.52,10.66,94.67,0.18,0.65
6.77,10.84,94.67,0.18,0.65
7.02,11.29,94.67,0.18,0.65
7.27,11.29,94.67,0.18,0.65
7.52,11.25,94.67,0.18,0.66
7.77,11.24,94.67,0.18,0.66
8.02,11.24,94.67,0.18,0.67
8.27,11.23,94.67,0.18,0.67
8.52,11.21,94.67,0.18,0.67
8.77,11.21,94.67,0.18,0.67
9.02,11.21,94.67,0.18,0.67
9.27,11.24,94.67,0.18,0.67
9.52,11.23,94.67,0.18,0.67
9.77,11.22,94.67,0.18,0.67
10.02,11.26,94.67,0.18,0.67
10.28,11.23,94.67,0.18,0.67
10.53,11.24,94.67,0.18,0.67
10.78,11.28,94.67,0.18,0.67
11.03,11.23,94.67,0.18,0.67
11.28,11.24,94.67,0.18,0.67
11.53,11.25,94.67,0.18,0.67
11.78,11.24,94.67,0.18,0.68
12.03,11.22,94.67,0.18,0.68
12.28,11.23,94.67,0.18,0.68
12.53,11.21,94.67,0.18,0.68
12.78,11.21,94.67,0.18,0.68
13.03,11.20,94.67,0.18,0.68
13.28,11.21,94.67,0.18,0.68
13.53,11.20,94.67,0.18,0.68
13.78,11.22,94.67,0.18,0.68
14.03,11.20,94.67,0.18,0.68
14.29,11.22,94.67,0.18,0.68
14.54,11.20,94.67,0.18,0.68
14.79,11.21,94.67,0.18,0.68
15.04,11.21,94.67,0.18,0.68
15.29,11.21,94.67,0.18,0.68
15.54,11.20,94.67,0.18,0.69
15.79,11.25,94.67,0.18,0.69
16.04,11.25,94.67,0.18,0.69
16.29,11.18,94.67,0.18,0.69
16.54,11.25,94.67,0.18,0.69
16.79,11.25,94.67,0.18,0.69
17.04,11.25,94.67,0.18,0.69
17.29,11.25,94.67,0.18,0.69
17.54,11.22,94.67,0.18,0.69
