t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,104.25,0.02,0.16,0.00
0.25,104.16,0.02,0.16,0.17
0.50,103.81,0.16,0.16,0.27
0.75,103.80,0.16,0.16,0.27
1.00,100.01,94.67,0.16,0.27
1.25,94.17,94.67,0.16,0.27
1.50,88.44,94.67,0.16,0.27
1.75,82.94,94.67,0.16,0.27
2.01,77.47,94.67,0.16,0.27
2.26,71.96,94.67,0.16,0.27
2.51,66.45,94.67,0.16,0.27
2.76,60.96,94.67,0.16,0.27
3.01,55.47,94.67,0.16,0.27
3.26,49.97,94.67,0.16,0.27
3.51,44.47,94.67,0.16,0.27
3.76,38.98,94.67,0.16,0.27
4.01,33.50,94.67,0.16,0.27
4.26,28.01,94.67,0.16,0.27
4.51,22.57,94.67,0.16,0.27
4.76,17.08,94.67,0.16,0.27
5.01,11.73,94.67,0.16,0.27
5.26,8.97,94.67,0.18,0.39
5.52,8.71,94.67,0.18,0.65
5.77,8.69,94.67,0.18,0.65
6.02,8.69,94.67,0.18,0.65
6.27,8.67,94.67,0.18,0.65
6.52,8.67,94.67,0.18,0.65
6.77,8.65,94.67,0.18,0.65
7.02,8.64,94.67,0.18,0.65
7.27,8.63,94.67,0.18,0.65
7.52,8.63,94.67,0.18,0.65
7.77,8.67,94.67,0.18,0.65
8.02,8.65,94.67,0.18,0.65
8.27,8.66,94.67,0.18,0.65
8.52,8.64,94.67,0.18,0.65
8.77,8.63,94.67,0.18,0.65
9.02,8.58,94.67,0.18,0.65
9.27,8.59,94.67,0.18,0.65
9.53,8.59,94.67,0.18,0.65
9.78,8.62,94.67,0.18,0.65
10.03,8.57,94.67,0.18,0.65
10.28,8.57,94.67,0.18,0.66
10.53,8.56,94.67,0.18,0.66
10.78,8.61,94.67,0.18,0.66
11.03,8.59,94.67,0.18,0.66
11.28,8.58,94.67,0.18,0.66
11.53,8.57,94.67,0.18,0.66
11.78,8.53,94.67,0.18,0.66
12.03,8.54,94.67,0.18,0.66
12.28,8.53,94.67,0.18,0.66
12.53,8.52,94.67,0.18,0.66
12.78,8.55,94.67,0.18,0.66
13.03,8.59,94.67,0.18,0.66
13.29,8.57,94.67,0.18,0.66
13.54,8.51,94.67,0.18,0.66
13.79,8.56,94.67,0.18,0.66
14.04,8.52,94.67,0.18,0.66
14.29,8.52,94.67,0.18,0.66
14.54,8.56,94.67,0.18,0.66
14.79,8.51,94.67,0.18,0.66
15.04,8.52,94.67,0.18,0.66
15.29,8.51,94.67,0.18,0.66
15.54,8.53,94.67,0.18,0.66
15.79,8.50,94.67,0.18,0.66
16.04,8.48,94.67,0.18,0.66
16.29,8.47,94.67,0.18,0.66
16.54,8.48,94.67,0.18,0.66
16.79,8.47,94.67,0.18,0.66
17.05,8.48,94.67,0.18,0.66
17.30,8.50,94.67,0.18,0.66
17.55,8.48,94.67,0.18,0.66
17.80,8.51,94.67,0.18,0.66
18.05,8.50,94.67,0.18,0.66
18.30,8.51,94.67,0.18,0.67
18.55,8.48,94.67,0.18,0.67
18.80,8.50,94.67,0.18,0.67
19.05,8.49,94.67,0.18,0.67
19.30,8.50,94.67,0.18,0.67
19.55,8.46,94.67,0.18,0.67
19.80,8.46,94.67,0.18,0.67
20.05,8.41,94.67,0.18,0.67
20.30,8.42,94.67,0.18,0.67
20.55,8.40,94.67,0.18,0.67
20.80,8.39,94.67,0.18,0.67
21.06,8.38,94.67,0.18,0.67
21.31,8.39,94.67,0.18,0.67
