t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,104.66,0.02,0.16,0.00
0.25,104.55,0.02,0.16,0.17
0.50,102.60,1.87,0.16,0.36
0.75,104.25,0.16,0.16,0.40
1.00,102.73,94.67,0.16,0.27
1.25,96.89,94.67,0.16,0.27
1.50,90.72,94.67,0.16,0.27
1.75,84.97,94.67,0.16,0.27
2.00,79.51,94.67,0.16,0.27
2.25,73.98,94.67,0.16,0.27
2.50,68.52,94.67,0.16,0.27
2.75,63.02,94.67,0.16,0.27
3.00,57.54,94.67,0.16,0.27
3.25,52.07,94.67,0.16,0.27
3.51,46.61,94.67,0.16,0.27
3.76,41.12,94.67,0.16,0.27
4.01,35.65,94.67,0.16,0.27
4.26,30.17,94.67,0.16,0.27
4.51,24.55,94.67,0.16,0.27
4.76,19.10,94.67,0.16,0.27
5.01,14.07,94.67,0.16,0.27
5.26,9.68,94.67,0.16,0.27
5.51,9.28,94.67,0.18,0.65
5.76,9.28,94.67,0.18,0.65
6.01,9.24,94.67,0.18,0.65
6.26,9.22,94.67,0.18,0.65
6.51,8.94,94.67,0.18,0.65
6.76,8.67,94.67,0.18,0.65
7.01,8.36,94.67,0.18,0.65
7.26,8.46,94.67,0.18,0.65
7.51,8.65,94.67,0.18,0.65
7.76,8.69,94.67,0.18,0.65
8.01,8.73,94.67,0.18,0.65
8.26,8.74,94.67,0.18,0.65
8.51,9.22,94.67,0.18,0.65
8.76,9.24,94.67,0.18,0.65
9.01,9.14,94.67,0.18,0.65
9.26,9.19,94.67,0.18,0.65
9.52,9.16,94.67,0.18,0.65
9.77,9.19,94.67,0.18,0.65
10.02,9.19,94.67,0.18,0.65
10.27,9.18,94.67,0.18,0.65
10.52,9.18,94.67,0.18,0.65
10.77,9.20,94.67,0.18,0.65
11.02,9.17,94.67,0.18,0.65
11.27,9.08,94.67,0.18,0.65
11.52,9.15,94.67,0.18,0.65
11.77,9.13,94.67,0.18,0.66
12.02,9.12,94.67,0.18,0.66
12.27,9.11,94.67,0.18,0.66
12.52,9.11,94.67,0.18,0.66
12.77,9.10,94.67,0.18,0.66
13.02,9.07,94.67,0.18,0.66
13.28,9.11,94.67,0.18,0.66
13.53,9.12,94.67,0.18,0.66
13.78,9.13,94.67,0.18,0.66
14.03,9.12,94.67,0.18,0.66
14.28,9.14,94.67,0.18,0.66
14.53,9.11,94.67,0.18,0.66
14.78,9.12,94.67,0.18,0.66
15.03,9.15,94.67,0.18,0.66
15.28,9.15,94.67,0.18,0.66
15.53,9.11,94.67,0.18,0.66
15.78,9.13,94.67,0.18,0.66
16.03,9.10,94.67,0.18,0.66
16.28,9.11,94.67,0.18,0.66
16.53,9.09,94.67,0.18,0.66
16.78,9.08,94.67,0.18,0.66
17.03,9.09,94.67,0.18,0.66
17.28,9.05,94.67,0.18,0.66
17.54,9.05,94.67,0.18,0.66
17.79,9.03,94.67,0.18,0.66
18.04,9.05,94.67,0.18,0.66
18.29,9.04,94.67,0.18,0.66
18.54,9.03,94.67,0.18,0.66
18.79,9.05,94.67,0.18,0.66
19.04,9.03,94.67,0.18,0.66
19.29,9.04,94.67,0.18,0.66
19.54,9.04,94.67,0.18,0.66
19.79,9.07,94.67,0.18,0.66
20.04,9.05,94.67,0.18,0.66
20.29,9.07,94.67,0.18,0.67
20.54,9.06,94.67,0.18,0.67
20.79,9.03,94.67,0.18,0.67
21.04,9.06,94.67,0.18,0.67
21.29,9.08,94.67,0.18,0.67
