t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,106.55,0.02,0.16,0.00
0.25,106.45,0.02,0.16,0.17
0.50,106.12,0.16,0.16,0.27
0.75,106.12,0.16,0.16,0.27
1.00,102.73,94.67,0.16,0.27
1.25,96.93,94.67,0.16,0.27
1.50,91.17,94.67,0.16,0.27
1.76,85.68,94.67,0.16,0.27
2.01,80.06,94.67,0.16,0.27
2.26,74.11,94.67,0.16,0.27
2.51,68.53,94.67,0.16,0.27
2.76,63.01,94.67,0.16,0.27
3.01,57.47,94.67,0.16,0.27
3.26,51.98,94.67,0.16,0.27
3.51,46.49,94.67,0.16,0.27
3.76,40.99,94.67,0.16,0.27
4.01,35.50,94.67,0.16,0.27
4.26,30.01,94.67,0.16,0.27
4.51,24.53,94.67,0.16,0.27
4.76,19.33,94.67,0.16,0.27
5.01,13.60,94.67,0.16,0.27
5.26,11.32,94.67,0.17,0.37
5.52,11.15,94.67,0.18,0.64
5.77,11.15,94.67,0.18,0.64
6.02,11.13,94.67,0.18,0.63
6.27,11.12,94.67,0.18,0.63
6.52,11.14,94.67,0.18,0.63
6.77,11.13,94.67,0.18,0.63
7.02,11.12,94.67,0.18,0.64
7.27,11.07,94.67,0.18,0.64
7.52,11.11,94.67,0.18,0.64
7.77,11.10,94.67,0.18,0.64
8.02,11.11,94.67,0.18,0.64
8.27,11.11,94.67,0.18,0.64
8.52,11.10,94.67,0.18,0.64
8.77,11.13,94.67,0.18,0.64
9.02,11.12,94.67,0.18,0.64
9.27,11.11,94.67,0.18,0.64
9.53,11.09,94.67,0.18,0.64
9.78,11.11,94.67,0.18,0.64
10.03,11.11,94.67,0.18,0.64
10.28,11.07,94.67,0.18,0.64
10.53,11.10,94.67,0.18,0.64
10.78,11.09,94.67,0.18,0.65
11.03,11.08,94.67,0.18,0.65
11.28,11.07,94.67,0.18,0.65
11.53,11.12,94.67,0.18,0.65
11.78,11.10,94.67,0.18,0.65
12.03,11.10,94.67,0.18,0.65
12.28,11.05,94.67,0.18,0.65
12.53,11.08,94.67,0.18,0.65
12.78,11.09,94.67,0.18,0.65
13.03,11.11,94.67,0.18,0.66
13.28,11.09,94.67,0.18,0.66
13.53,11.10,94.67,0.18,0.66
13.78,11.08,94.67,0.18,0.66
14.04,11.09,94.67,0.18,0.66
14.29,11.07,94.67,0.18,0.66
14.54,11.08,94.67,0.18,0.66
14.79,11.06,94.67,0.18,0.66
15.04,11.10,94.67,0.18,0.66
15.29,11.12,94.67,0.18,0.66
15.54,11.10,94.67,0.18,0.66
15.79,11.11,94.67,0.18,0.66
16.04,11.06,94.67,0.18,0.66
16.29,11.05,94.67,0.18,0.66
16.54,11.11,94.67,0.18,0.66
16.79,11.11,94.67,0.18,0.67
17.04,11.09,94.67,0.18,0.67
17.29,11.08,94.67,0.18,0.67
17.54,11.10,94.67,0.18,0.67
17.79,11.07,94.67,0.18,0.67
18.04,11.09,94.67,0.18,0.67
18.30,11.07,94.67,0.18,0.67
18.55,11.06,94.67,0.18,0.67
18.80,11.10,94.67,0.18,0.67
19.05,11.07,94.67,0.18,0.67
19.30,11.09,94.67,0.18,0.67
19.55,11.04,94.67,0.18,0.67
19.80,11.06,94.67,0.18,0.67
20.05,11.07,94.67,0.18,0.67
20.30,11.08,94.67,0.18,0.67
20.55,11.10,94.67,0.18,0.68
